127.0.0.1 - - [12/Nov/2024:10:46:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:46:58 +0530] "GET /EVChargeStation/Home.jsp HTTP/1.1" 200 50937
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:46:58 +0530] "GET /EVChargeStation/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:46:58 +0530] "GET /EVChargeStation/assets/vendor/aos/aos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:46:58 +0530] "GET /EVChargeStation/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:46:58 +0530] "GET /EVChargeStation/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:46:58 +0530] "GET /EVChargeStation/assets/vendor/remixicon/remixicon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:46:58 +0530] "GET /EVChargeStation/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:46:58 +0530] "GET /EVChargeStation/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:46:58 +0530] "GET /EVChargeStation/assets/vendor/aos/aos.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:46:58 +0530] "GET /EVChargeStation/assets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:46:58 +0530] "GET /EVChargeStation/assets/vendor/purecounter/purecounter_vanilla.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:46:58 +0530] "GET /EVChargeStation/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:46:58 +0530] "GET /EVChargeStation/assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:46:58 +0530] "GET /EVChargeStation/assets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:46:58 +0530] "GET /EVChargeStation/assets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:46:58 +0530] "GET /EVChargeStation/assets/vendor/php-email-form/validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:46:58 +0530] "GET /EVChargeStation/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:46:58 +0530] "GET /EVChargeStation/assets/img/home2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:10:46:58 +0530] "GET /EVChargeStation/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?1fa40e8900654d2863d011707b9fb6f2 HTTP/1.1" 304 -
